:displayName English

'1 Pi Capitaalo planet, want exotics.prefab
'name2	'((Inhabited planet))	'((Inhabited planet))	25		'383958601:dlc2/1 Pi Capitaalo planet, want exotics.prefab; 180401831:dlc2/2 Pi Phobian planet 2, wasteland.prefab; 310536612:dlc2/1 Pi Capitaalo planet, want synth.prefab; 416434856:dlc2/1 Pi Capitaalo planet, want organics.prefab; 685940565:dlc2/2 Pi Phobian planet 1, want credits.prefab; 1615424338:dlc2/1 Pi Capitaalo planet, want explosives.prefab; 1852234114:dlc2/1 Pi Capitaalo planet, want organics 2.prefab; 1930524378:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'text	'Should we attack the Phobian pirates? They are leaving, but still within tactical distance.	'Should we attack the Phobian pirates? They are leaving, but still within tactical distance.	400		'1286914365:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 800485979:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'choiceText	'Move on	'Move on	100		'1286914365:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 800485979:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'choiceText	'They disrespected us twice. Attack!	'They disrespected us twice. Attack!	100		'1286914365:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab

'Ambusher L2b and 3b Moleculaati mortal combat.prefab
'displayName	'Mortality Duellists	'Mortality Duellists	25		'787788505:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab; 91559620:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'text	'An unknown ship is rapidly approaching tactical range. It broadcasts a high-level safety verification signal, meaning the ship and its crew should be safe to us without provocation.	'An unknown ship is rapidly approaching tactical range. It broadcasts a high-level safety verification signal, meaning the ship and its crew should be safe to us without provocation.	600		'216297908:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'text	'"Hello, fellow claims-to-be-consciousness! We are Mortality Duellists, seeking the thrill of mortal combat. And yes, we have a mysterious Moleculaati ship, though we are obviously not Moleculaati, just a normal multispecies group. Would you be interested in participation in a Death Duel? As per tradition, only one ship survives. No pressure, of course."	'"Hello, fellow claims-to-be-consciousness! We are Mortality Duellists, seeking the thrill of mortal combat. And yes, we have a mysterious Moleculaati ship, though we are obviously not Moleculaati, just a normal multispecies group. Would you be interested in participation in a Death Duel? As per tradition, only one ship survives. No pressure, of course."	400		'91559620:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'choiceText	'Perhaps our crew can introduce you other entertainments instead?	'Perhaps our crew can introduce you other entertainments instead?	100		'91559620:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'choiceText	'Thank you for the invitation, we pass. Goodbye.	'Thank you for the invitation, we pass. Goodbye.	100		'91559620:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'choiceText	'No harm in a friendly duel to the death [prepare for combat]	'No harm in a friendly duel to the death [prepare for combat]	100		'91559620:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'title	'Post-party report	'Post-party report	35		'52600093:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab; 112596143:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'text2	'Our crew took time to socialize with the adventurers who had chosen such an unusual entertainment. Alien concepts were shared, and many delights demonstrated or explained to the Duellists. Many new relationship was formed and both crews reported high level of satisfaction from the encounter.	'Our crew took time to socialize with the adventurers who had chosen such an unusual entertainment. Alien concepts were shared, and many delights demonstrated or explained to the Duellists. Many new relationship was formed and both crews reported high level of satisfaction from the encounter.	400		'52600093:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'text2	'The crews of two ships organized a recreational party, and it was pretty wild. Many new forms of pleasure were \ndemonstrated or shared with the aliens, along with cultural concepts, games and physical activities. Unfortunately, there was an accident during one of the games, as one of our crew got bitten too hard. It will grow back later though.	'The crews of two ships organized a recreational party, and it was pretty wild. Many new forms of pleasure were \ndemonstrated or shared with the aliens, along with cultural concepts, games and physical activities. Unfortunately, there was an accident during one of the games, as one of our crew got bitten too hard. It will grow back later though.	400		'112596143:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'okButtonText	'Grant crew the permission to party	'Grant crew the permission to party	7		'1782381849:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab
'text	'Why, that is a very generous offer. We have tried thousands of entertainments, and are always ready to explore new experiences. We assure your crew is safe to enter our ship as guests, to show us your ways of Fun.	'Why, that is a very generous offer. We have tried thousands of entertainments, and are always ready to explore new experiences. We assure your crew is safe to enter our ship as guests, to show us your ways of Fun.	600		'1782381849:dlc2/Ambusher L2b and 3b Moleculaati mortal combat.prefab

'Ambusher L2b Phobians, londiste 1x3.prefab
'displayName	'Phobian fleet	'Phobian fleet	25		'665965456:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; 370778553:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab; 770454143:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab; 1966636870:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab; 2060732189:dlc2/Ambusher L2b Phobians, londiste 4.prefab
'title	'Phobian tax officer	'Phobian tax officer	35		'2120148379:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; 77153418:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab; 1273336145:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab; 1367431464:dlc2/Ambusher L2b Phobians, londiste 4.prefab; 1824961476:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab
'text	'You are in Phobian space, and we saw you coming. Our leaders have decided to pre-emptively destroy you because of the danger you are to the stability of our society, especially our family values, children and small animals. It doesn't matter if you pay us, though.	'You are in Phobian space, and we saw you coming. Our leaders have decided to pre-emptively destroy you because of the danger you are to the stability of our society, especially our family values, children and small animals. It doesn't matter if you pay us, though.	400		'2120148379:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab
'choiceText	'Pay 80 credits	'Pay 80 credits	100		'2120148379:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; 1273336145:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab
'choiceText	'Your excuse does not make sense [prepare for combat].	'Your excuse does not make sense [prepare for combat].	100		'2120148379:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; 77153418:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab; 1273336145:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab; 1367431464:dlc2/Ambusher L2b Phobians, londiste 4.prefab; 1824961476:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab
'text	'A small fleet of ship is approaching tactical weapons range. They are using decoys to make the exact contents of their fleet unclear from this range.	'A small fleet of ship is approaching tactical weapons range. They are using decoys to make the exact contents of their fleet unclear from this range.	600		'1838673980:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; 991861746:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab; 1543487077:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab
'text2	'Your threat to stability neutralization payment has been accepted, you must pay each fleet separately. As s token of hospitality of Phobian Civilization, we also give you a medal of Exceptional Compliance. It is very big.	'Your threat to stability neutralization payment has been accepted, you must pay each fleet separately. As s token of hospitality of Phobian Civilization, we also give you a medal of Exceptional Compliance. It is very big.	400		'1160503939:dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; 313691705:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab; 407787024:dlc2/Ambusher L2b Phobians, londiste 4.prefab; 865317036:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab; 1264992626:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab
'reasonToDisplay	'Phobian fleet paid	'Phobian fleet paid	30		'dlc2/Ambusher L2b Phobians, londiste 1x3.prefab; dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab; dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab; dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab

'Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab
'text	'Attention, foreign ship! Our leaders have found your ship presents a danger to the stability of our civilization, especially our long standing traditions of peace & hospitality. It doesn't matter if you pay us, though.	'Attention, foreign ship! Our leaders have found your ship presents a danger to the stability of our civilization, especially our long standing traditions of peace & hospitality. It doesn't matter if you pay us, though.	400		'1273336145:dlc2/Ambusher L2b Phobians, londiste 2 and 1 or londiste 2.prefab

'Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab
'text	'Our scientists have uncovered that your ship is a Chaotic Element, disrupting the Phobian way of life, especially our traditional wiews about saying important welcoming words. It means we're forced to destroy you for logical reasons. It doesn't matter if you pay us, though.	'Our scientists have uncovered that your ship is a Chaotic Element, disrupting the Phobian way of life, especially our traditional wiews about saying important welcoming words. It means we're forced to destroy you for logical reasons. It doesn't matter if you pay us, though.	400		'1824961476:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab
'choiceText	'Pay 100 credits	'Pay 100 credits	100		'1824961476:dlc2/Ambusher L2b Phobians, londiste 2x2 or londiste 3.prefab

'Ambusher L2b Phobians, londiste 3 and 1.prefab
'text	'Because of the danger you are to the stability of our society (especially our young, since your actions may scare them) we have received orders to destroy your ship or collect relevant taxes to neutralize the societal damage you are causing.	'Because of the danger you are to the stability of our society (especially our young, since your actions may scare them) we have received orders to destroy your ship or collect relevant taxes to neutralize the societal damage you are causing.	400		'77153418:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab
'choiceText	'Pay 150 credits	'Pay 150 credits	100		'77153418:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab; 1367431464:dlc2/Ambusher L2b Phobians, londiste 4.prefab
'text	'Two Phobian ships approaching tactical weapons range.	'Two Phobian ships approaching tactical weapons range.	600		'1943162667:dlc2/Ambusher L2b Phobians, londiste 3 and 1.prefab

'Ambusher L2b Phobians, londiste 4.prefab
'text	'You are in Phobian space, which means you are causing problems to our understanding of reality, which (as everybody knows) only contains one sentient species, the Phobians (the Rats do not count). You must immediately pay the reality-disruption tax or be destroyed.	'You are in Phobian space, which means you are causing problems to our understanding of reality, which (as everybody knows) only contains one sentient species, the Phobians (the Rats do not count). You must immediately pay the reality-disruption tax or be destroyed.	400		'1367431464:dlc2/Ambusher L2b Phobians, londiste 4.prefab
'text	'A large Phobian ship is approaching tactical weapons range.	'A large Phobian ship is approaching tactical weapons range.	600		'1085957065:dlc2/Ambusher L2b Phobians, londiste 4.prefab
'reasonToDisplay	'Phobian officer paid	'Phobian officer paid	30		'dlc2/Ambusher L2b Phobians, londiste 4.prefab

'Ambusher L3b Hunter Crab.prefab
'title	'Hunter Captain	'Hunter Captain	35		'882682751:dlc2/Ambusher L3b Hunter Crab.prefab
'text	'Alien vessel, you have stranded into our ever-changing food hunting grounds during the Prime Gorging Season. We must destroy and eat you, except if you prepare us the finest of your foods and satisfy our Holy Hunger.	'Alien vessel, you have stranded into our ever-changing food hunting grounds during the Prime Gorging Season. We must destroy and eat you, except if you prepare us the finest of your foods and satisfy our Holy Hunger.	400		'882682751:dlc2/Ambusher L3b Hunter Crab.prefab
'choiceText	'Print delicious foods as a bribe [-120 organics]	'Print delicious foods as a bribe [-120 organics]	100		'882682751:dlc2/Ambusher L3b Hunter Crab.prefab
'choiceText	'You think about food too much [prepare for combat].	'You think about food too much [prepare for combat].	100		'882682751:dlc2/Ambusher L3b Hunter Crab.prefab
'text	'A single, large ship is approaching tactical weapons range. It seems technologically very advanced.	'A single, large ship is approaching tactical weapons range. It seems technologically very advanced.	600		'601208352:dlc2/Ambusher L3b Hunter Crab.prefab
'text2	'We would have rather preferred to eat the contents of your lifepods instead, but the nom-nomings you prorvided were satisfactory. We especialy enjoyed the Chokulaatu. Go in peace.	'We would have rather preferred to eat the contents of your lifepods instead, but the nom-nomings you prorvided were satisfactory. We especialy enjoyed the Chokulaatu. Go in peace.	400		'2070521959:dlc2/Ambusher L3b Hunter Crab.prefab
'reasonToDisplay	'Hunters fed	'Hunters fed	30		'dlc2/Ambusher L3b Hunter Crab.prefab
'text	'"How dare you suggest we think too much about nom-nomings!? It is our holy duty, an existential burden, a way of life, a philosophy too deep for you to understand. We look forward to eating your remains. Also, you're very ugly."	'"How dare you suggest we think too much about nom-nomings!? It is our holy duty, an existential burden, a way of life, a philosophy too deep for you to understand. We look forward to eating your remains. Also, you're very ugly."	600		'985480337:dlc2/Ambusher L3b Hunter Crab.prefab

'Ambusher L3b pirates, 3x tigercubs.prefab
'text	'"OH, YOU, THE WEAKLING! [cruel laughter]"	'"OH, YOU, THE WEAKLING! [cruel laughter]"	600		'2101405423:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab; 807394251:dlc2/Ambusher L3b pirates, guardian 2.prefab
'text	'"THE TIGER CLAN DESTROY YOU WEAKLING, GIVE CRYSTAL FOR LIFE."	'"THE TIGER CLAN DESTROY YOU WEAKLING, GIVE CRYSTAL FOR LIFE."	400		'573944347:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab
'text	'After seeing us getting ready for battle, the hostile ships turn around and start leaving the area. Perhaps they were bluffing?	'After seeing us getting ready for battle, the hostile ships turn around and start leaving the area. Perhaps they were bluffing?	400		'892166441:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab; 1745638917:dlc2/Ambusher L3b pirates, guardian 2.prefab
'text2	'"GREAT TIGER CLAN IS VERY ETHICAL, ONLY TAKE CRYSTAL."	'"GREAT TIGER CLAN IS VERY ETHICAL, ONLY TAKE CRYSTAL."	400		'252939238:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab; 1106411714:dlc2/Ambusher L3b pirates, guardian 2.prefab
'text2	'The pirates leave as we receive the package.	'The pirates leave as we receive the package.	400		'1563909740:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab; 269898568:dlc2/Ambusher L3b pirates, guardian 2.prefab
'text	'TAKE THREE WEAPONS, WE LEAVE QUICKLY, NO FIGHT.	'TAKE THREE WEAPONS, WE LEAVE QUICKLY, NO FIGHT.	400		'2082571271:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab
'choiceText	'Deal [receive three weapons]	'Deal [receive three weapons]	100		'2082571271:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab; 788560099:dlc2/Ambusher L3b pirates, guardian 2.prefab
'choiceText	'Your piracy ends today [proceed to battle]	'Your piracy ends today [proceed to battle]	100		'2082571271:dlc2/Ambusher L3b pirates, 3x tigercubs.prefab; 788560099:dlc2/Ambusher L3b pirates, guardian 2.prefab

'Ambusher L3b pirates, guardian 2.prefab
'text	'Two ships are rapidly approaching tactical range. The larger one is armed with an array of weapons, heating up to fire.	'Two ships are rapidly approaching tactical range. The larger one is armed with an array of weapons, heating up to fire.	600		'1775334523:dlc2/Ambusher L3b pirates, guardian 2.prefab
'text	'"GIVE GOOD CRYSTAL, LIVE."	'"GIVE GOOD CRYSTAL, LIVE."	400		'1427416823:dlc2/Ambusher L3b pirates, guardian 2.prefab
'text	'TAKE THREE WEAPONS, WE LEAVE, NO FIGHT.	'TAKE THREE WEAPONS, WE LEAVE, NO FIGHT.	400		'788560099:dlc2/Ambusher L3b pirates, guardian 2.prefab

'Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'text	'Two advanced ships approaching, both armed with two heavy energy weapons.	'Two advanced ships approaching, both armed with two heavy energy weapons.	600		'339585287:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab; 959506369:dlc2/Ambusher L9b Moralors, large and small.prefab; 1452292669:dlc2/Ambusher L7b Moralors, medium and small.prefab
'title	'Moralor Testers	'Moralor Testers	35		'1034747864:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab; 1654668946:dlc2/Ambusher L9b Moralors, large and small.prefab; 2147455246:dlc2/Ambusher L7b Moralors, medium and small.prefab
'text	'Ahh, travellers in need of guidance. We are the Moralors, the final guardians assuring this universe remains profoundly ethical. We do this by seeking out evil and destroying it. To test your morality, we have a simple test for you: should species with tentacles sleep so that their tentacles are on the left? Or on the right?	'Ahh, travellers in need of guidance. We are the Moralors, the final guardians assuring this universe remains profoundly ethical. We do this by seeking out evil and destroying it. To test your morality, we have a simple test for you: should species with tentacles sleep so that their tentacles are on the left? Or on the right?	400		'1034747864:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab

'Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab
'text	'A medium-size ship approaching, armed with numerous energy weapons.	'A medium-size ship approaching, armed with numerous energy weapons.	600		'1301028205:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab
'title	'Moralor Redeemers	'Moralor Redeemers	35		'1996190782:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab
'text	'We are the Moralors, the greatest guardians assuring this universe remains profoundly ethical. We in our great wisdom have decided you are not moral, and will give you now one final chance to redeem yourself. It is not in your place to question us. You can redeem yourself in intergalactic cash, naturally. We will put it into moral use.	'We are the Moralors, the greatest guardians assuring this universe remains profoundly ethical. We in our great wisdom have decided you are not moral, and will give you now one final chance to redeem yourself. It is not in your place to question us. You can redeem yourself in intergalactic cash, naturally. We will put it into moral use.	400		'1996190782:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab
'choiceText	'Pay 250 credits	'Pay 250 credits	100		'1996190782:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab
'choiceText	'You deserve to end [prepare for combat]	'You deserve to end [prepare for combat]	100		'1996190782:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab; 1549336500:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'text	'"Aha! Looks like a clear case of Criminally Poor to me. The universe has spoken: those who do not have enough cash at hand to pay the Moralor redeemers are indeed totally unmoral and shall be righteously put do death."	'"Aha! Looks like a clear case of Criminally Poor to me. The universe has spoken: those who do not have enough cash at hand to pay the Moralor redeemers are indeed totally unmoral and shall be righteously put do death."	600		'1882427912:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab
'text2	'"Payment accepted. You must pay each of our Redeemer fleets separately. You should also be thankful that we have given you this opportunity to pay us. You should think back to this moment every now and then and say to yourself "Such a wonderful experience it was." Go in peace now."	'"Payment accepted. You must pay each of our Redeemer fleets separately. You should also be thankful that we have given you this opportunity to pay us. You should think back to this moment every now and then and say to yourself "Such a wonderful experience it was." Go in peace now."	400		'219573637:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab; 1920203003:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'reasonToDisplay	'Moralor fleet paid	'Moralor fleet paid	30		'dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab; dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'text	'"Aha! Looks like either a case of Criminal Poverty or TULG (Totally Unmorally Low Level of Generosity) to me. The Universe has spoken: those who do not give fairly demandend cash to Moralor Redeemers are indeed totally unmoral and shall be righteously put do death."	'"Aha! Looks like either a case of Criminal Poverty or TULG (Totally Unmorally Low Level of Generosity) to me. The Universe has spoken: those who do not give fairly demandend cash to Moralor Redeemers are indeed totally unmoral and shall be righteously put do death."	600		'316343971:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab

'Ambusher L5b Slaver Hunters.prefab
'text	'Small ships approaching tactical weapons range.	'Small ships approaching tactical weapons range.	600		'1690941194:dlc2/Ambusher L5b Slaver Hunters.prefab
'title	'Slaver Hunter Taskforce	'Slaver Hunter Taskforce	35		'2075213179:dlc2/Ambusher L5b Slaver Hunters.prefab
'text	'"Alien vessel, this sector is a designated as Slaver Habitat. This means our automated taskforce must destroy all local fleets, because we do not have the means to identify slavers specifically. Our apologies for any inconvenience."	'"Alien vessel, this sector is a designated as Slaver Habitat. This means our automated taskforce must destroy all local fleets, because we do not have the means to identify slavers specifically. Our apologies for any inconvenience."	600		'2075213179:dlc2/Ambusher L5b Slaver Hunters.prefab

'Ambusher L6b Phobian pirates x 3.prefab
'text	'Today's offer is a decent biotech shield module. If you refuse the purchase, our heavy projectile firepower will go right through your shields, ensuring considerable loss of material and crew, even if you defeat us. Accept this offer instead, and we can all peacefully go home. Sounds reasonable?	'Today's offer is a decent biotech shield module. If you refuse the purchase, our heavy projectile firepower will go right through your shields, ensuring considerable loss of material and crew, even if you defeat us. Accept this offer instead, and we can all peacefully go home. Sounds reasonable?	400		'1045606086:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'choiceText	'Buy "1 shield module for 299 credits"	'Buy "1 shield module for 299 credits"	100		'1045606086:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'text	'Three small vessels approaching tactical weapons range. No high-energy weapons detected.	'Three small vessels approaching tactical weapons range. No high-energy weapons detected.	600		'764131687:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'text2	'The "shield module" we receive in return for our hard-earned credits turns out to be an ancient piece of junk, damaged beyond repair and missing many pieces. We scrap it for materials.	'The "shield module" we receive in return for our hard-earned credits turns out to be an ancient piece of junk, damaged beyond repair and missing many pieces. We scrap it for materials.	400		'85961646:dlc2/Ambusher L6b Phobian pirates x 3.prefab

'Ambusher L6b Squid new smalls x3.prefab
'text	'Three small Squid ships closing in fast.	'Three small Squid ships closing in fast.	600		'1467933848:dlc2/Ambusher L6b Squid new smalls x3.prefab

'Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'text	'A large ship approaching, armed with numerous energy weapons.	'A large ship approaching, armed with numerous energy weapons.	600		'854173923:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'title	'Moralor Law King	'Moralor Law King	35		'1549336500:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'text	'We are Moralors, and I am the Law King. The Moral Law states plainly that anybody we meet that isn't moral must pay in cash, 350 creds in your case. And you are totally not moral. Your crew has sex, and that is enough to insult the god, who must witness this disgusting activity in his omnisense. I bet you also sleep tentacles on the right like a total perv. Now pay up or be eradicated for your sins.	'We are Moralors, and I am the Law King. The Moral Law states plainly that anybody we meet that isn't moral must pay in cash, 350 creds in your case. And you are totally not moral. Your crew has sex, and that is enough to insult the god, who must witness this disgusting activity in his omnisense. I bet you also sleep tentacles on the right like a total perv. Now pay up or be eradicated for your sins.	400		'1549336500:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'choiceText	'Pay 350 credits	'Pay 350 credits	100		'1549336500:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'text	'"Aha! Looks like a clear case of Criminally Poor to me. The universe has spoken: those who do not have enough cash at hand to pay the Moralor Law Kings are indeed totally unmoral and shall be righteously put do death."	'"Aha! Looks like a clear case of Criminally Poor to me. The universe has spoken: those who do not have enough cash at hand to pay the Moralor Law Kings are indeed totally unmoral and shall be righteously put do death."	600		'1435573630:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'okButtonText	'The capability to lie to oneself continues to surprise us across species	'The capability to lie to oneself continues to surprise us across species	7		'2016973337:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'text	'"You must be crazy, how can you not see that any sex or sleeping with tentacles on the right is bad for the universe? Don't you have pity for the god who must every day see your blasphemous activities due to their omnisense! You don't have the right to insult god like this. Insulting god is bad for the whole universe. We are forced to fight you."	'"You must be crazy, how can you not see that any sex or sleeping with tentacles on the right is bad for the universe? Don't you have pity for the god who must every day see your blasphemous activities due to their omnisense! You don't have the right to insult god like this. Insulting god is bad for the whole universe. We are forced to fight you."	600		'2016973337:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab

'Ambusher L7b Moralors, medium and small.prefab
'text	'"We are the Moralor Testers, the final guardians assuring this universe remains profoundly ethical. We have a simple test question for you today. The classic question: is doing sex moral?"	'"We are the Moralor Testers, the final guardians assuring this universe remains profoundly ethical. We have a simple test question for you today. The classic question: is doing sex moral?"	400		'2147455246:dlc2/Ambusher L7b Moralors, medium and small.prefab; 1654668946:dlc2/Ambusher L9b Moralors, large and small.prefab
'choiceText	'Completely immoral, we never do it in any shape or form	'Completely immoral, we never do it in any shape or form	100		'2147455246:dlc2/Ambusher L7b Moralors, medium and small.prefab; 1654668946:dlc2/Ambusher L9b Moralors, large and small.prefab
'choiceText	'You mean having sex? You're asking if having any sex with anyone is moral?	'You mean having sex? You're asking if having any sex with anyone is moral?	100		'2147455246:dlc2/Ambusher L7b Moralors, medium and small.prefab; 1654668946:dlc2/Ambusher L9b Moralors, large and small.prefab
'title	'Chorus singing transmission	'Chorus singing transmission	35		'2033692376:dlc2/Ambusher L7b Moralors, medium and small.prefab; 1540906076:dlc2/Ambusher L9b Moralors, large and small.prefab
'text	'"Our brains are filled with joy to hear these pure thoughts. We shall now commence a chorus singing to celebrate this happy meeting. Please listen. It is about how generous the universe is, bringing together beings who understand who unmoral sex is, and who sleep only with tentacles on the left. You'd never do that, right? [chorus singing commences]"	'"Our brains are filled with joy to hear these pure thoughts. We shall now commence a chorus singing to celebrate this happy meeting. Please listen. It is about how generous the universe is, bringing together beings who understand who unmoral sex is, and who sleep only with tentacles on the left. You'd never do that, right? [chorus singing commences]"	600		'2033692376:dlc2/Ambusher L7b Moralors, medium and small.prefab; 1540906076:dlc2/Ambusher L9b Moralors, large and small.prefab
'text	'"Aha! You have revealed your unmoral nature by saying "having sex with" instead of saying "doing sex" which is the normal way of speaking about such blasphemous matters. Truly the universe is full of hidden sinners, and we are lucky to have this ancient wisdom for seeing through these tricks of yours. Everyone knows doing sex or talking about it differently is a clear sign of evil. Prepare to meet our god in your afterlife, he shall sind you the moral chorus soon."	'"Aha! You have revealed your unmoral nature by saying "having sex with" instead of saying "doing sex" which is the normal way of speaking about such blasphemous matters. Truly the universe is full of hidden sinners, and we are lucky to have this ancient wisdom for seeing through these tricks of yours. Everyone knows doing sex or talking about it differently is a clear sign of evil. Prepare to meet our god in your afterlife, he shall sind you the moral chorus soon."	600		'467608435:dlc2/Ambusher L7b Moralors, medium and small.prefab; 2122305783:dlc2/Ambusher L9b Moralors, large and small.prefab

'Ambusher L9b Moralors, large and small.prefab

'Level 1b, rats and capitaalo.prefab
'displayName	'The Closest Star (DLC)	'The Closest Star (DLC)	25		'527148320:dlc2/Level 1b, rats and capitaalo.prefab

'Level 2b, pirates and phobians.prefab
'displayName	'The Great Inbetween (DLC)	'The Great Inbetween (DLC)	25		'1103400833:dlc2/Level 2b, pirates and phobians.prefab
'description	'Captains log:\n\n/.../ We've survived the Capitaalo, and the Rat Empire, but I feel our troubles are only beginning. \nThe pirate reports coming from this sector mean we need more crew, point-defences, shields and especially <color=green>ship weapon slots</color> to stay alive.\nI shall make it my personal matter to upgrade one of the hybrid point-defence slots into a weapon platform /.../	'Captains log:\n\n/.../ We've survived the Capitaalo, and the Rat Empire, but I feel our troubles are only beginning. \nThe pirate reports coming from this sector mean we need more crew, point-defences, shields and especially <color=green>ship weapon slots</color> to stay alive.\nI shall make it my personal matter to upgrade one of the hybrid point-defence slots into a weapon platform /.../	350		'1103400833:dlc2/Level 2b, pirates and phobians.prefab

'Level 3b, collection.prefab
'displayName	'The Periphery (DLC)	'The Periphery (DLC)	25		'180261437:dlc2/Level 3b, collection.prefab

'Level 4b, insects.prefab
'displayName	'Unclaimed Sector (DLC)	'Unclaimed Sector (DLC)	25		'1963731161:dlc2/Level 4b, insects.prefab

'Level 5b, slavers.prefab
'displayName	'Mining sector (DLC)	'Mining sector (DLC)	25		'669451033:dlc2/Level 5b, slavers.prefab

