# RST localization TSV file for a build 1.3.6rc
#
# All files with tsv extension from the following directories are read on game start (relative to game installation):
#   Mods/
#   ../../workshop/content/812040/
#
# There are two ways to tell the game to use a specific language. One is by using cmd line arg
# "--language=German" and another option is to choose from the Language dropdown in the game.
#
# The game ONLY parses lines that:
# 1. start with ':' character. These are processing directives.
# 2. have at least 3 tab separated columns. These are dictionary entries. All strings are in UTF-8 encoding.
#
# Columns:
#  * "context/comment" just gives a hint where this line is in the game, it's not imported.
#  * "key" (case-sensitive) is a phrase matched in the game. If localization context is given (use-in column), both context and key must match.
#  * "translation" is what will be shown in the game.
#  * "max-len" is a hint how many characters approximately can the translation be without truncation or overflow. Not imported.
#  * "use-in" is empty by default, but localization context ids from usable-in column can be copied here to constrain where this line will be used.
#  * "usable-in" is a list of all localization context ids that can be copied into use-in. Not imported.
#
# use-in column format examples:
#  2035575234:Menu panel.prefab - points to one particular part inside menu prefab (that part has localization context id 2035575234)
#  310402963:Menu panel.prefab  - points to a different part inside menu prefab
#  2035575234:Menu panel.prefab; 310402963:Menu panel.prefab - points to both parts in menu panel
#  2035575234; 310402963 - short version of the previous line
#  2035575234:credits button in menu; 310402963:ship label in menu - same as previous line, but it shows that what's after ':' doesn't matter
#  Beam.cs - some parts of the game don't have loc ctx id, this is an example of it, it can't be used in use-in column
#
# A localization context is a non-changing integer assigned to some particular part of the game. The integer may be
# followed by some text, separated by ':', it is there just for commenting purposes and is ignored by the game.
#
# A longer guide how to edit this file and publish it in Steam Workshop is here:
# https://steamcommunity.com/sharedfiles/filedetails/?id=2244605825

# Display name should be the first non-comment, non-empty line. It marks that all the following lines are in that language.
:displayName English

# Plurals forms are used like described here, except the separator is '|'
# https://developer.mozilla.org/en-US/docs/Mozilla/Localization/Localization_and_Plurals#Developing_with_PluralForm
:mozillaPluralRuleNumber 1

# Columns (only the translation and use-in columns should be edited):
# comment	key	translation	max-len	use-in	usable-in

Beam.cs
	DEFLECT	DEFLECT	0		Beam.cs; Projectile.cs
text2	A group of anomalous warp lights flies right through our ship! Later, a routine checkup reveals some of our crew has now significantly improved health, immune system and sexual drive.	A group of anomalous warp lights flies right through our ship! Later, a routine checkup reveals some of our crew has now significantly improved health, immune system and sexual drive.	400		1298001756:23 Exo anomaly3 rainbow.prefab
reasonToDisplay	Warp animal gift	Warp animal gift	30		23 Exo anomaly3 rainbow.prefab

236 Exo warp pink long jellyf attack Tmo.prefab
text	A lone, gigantic warp animal is quickly floating towards our ship. Scans indicate it seems to be powering up destructive energies, ready to attack. Our database suggests that explosives guarantee creature death.	A lone, gigantic warp animal is quickly floating towards our ship. Scans indicate it seems to be powering up destructive energies, ready to attack. Our database suggests that explosives guarantee creature death.	400		1808123027:236 Exo warp pink long jellyf attack Tmo.prefab
choiceText	Fight the warp animal [-40 explosives]	Fight the warp animal [-40 explosives]	100		1808123027:236 Exo warp pink long jellyf attack Tmo.prefab
text2	Our first salvo got through and hit the animal's underside. The creature exploded in a massive ball of lights, scorching our ship. There was nothing left to salvage, but we recorded the event as xenodata.	Our first salvo got through and hit the animal's underside. The creature exploded in a massive ball of lights, scorching our ship. There was nothing left to salvage, but we recorded the event as xenodata.	400		498389556:236 Exo warp pink long jellyf attack Tmo.prefab
text2	We were able to escape the animal although it tried to follow us via personal warpholes. Accounting for the rumors about space life's destructive capabilities, we considered ourselves lucky to survive the encounter. Recording of the warp animal behaviour can be sold as xenodata.	We were able to escape the animal although it tried to follow us via personal warpholes. Accounting for the rumors about space life's destructive capabilities, we considered ourselves lucky to survive the encounter. Recording of the warp animal behaviour can be sold as xenodata.	400		320274379:236 Exo warp pink long jellyf attack Tmo.prefab
text2	A piece of spaceship technology had been swallowed whole by the creature.	A piece of spaceship technology had been swallowed whole by the creature.	400		723558906:236 Exo warp pink long jellyf attack Tmo.prefab
text	We weren't able to evade the warp animal. It is now next to our ship, closing in with fully energized tentacles extended towards us. Conflicting info from warp animal database claims the animals sometimes calms if the ship they're after stops and powers down. Orders?	We weren't able to evade the warp animal. It is now next to our ship, closing in with fully energized tentacles extended towards us. Conflicting info from warp animal database claims the animals sometimes calms if the ship they're after stops and powers down. Orders?	400		1404838500:236 Exo warp pink long jellyf attack Tmo.prefab
choiceText	Fight the warp animal	Fight the warp animal	100		1404838500:236 Exo warp pink long jellyf attack Tmo.prefab
text2	We powered the ship down and waited. Something strange happened next. The animal started to feel and poke our ship with its many tentacles. After a while, it seemed to have found what it wanted. With a single zap from a tentacle, it transformed all of our stored explosives into red goo. Later analysis revealed the goo as edible, and it tasted like strawberries.	We powered the ship down and waited. Something strange happened next. The animal started to feel and poke our ship with its many tentacles. After a while, it seemed to have found what it wanted. With a single zap from a tentacle, it transformed all of our stored explosives into red goo. Later analysis revealed the goo as edible, and it tasted like strawberries.	400		1304958613:236 Exo warp pink long jellyf attack Tmo.prefab
text2	We powered the ship down and waited. Something strange happened next. The animal started to feel and poke our ship with its many tentacles. Suddenly, it became agitated and released a charge of energy from its body, damaging the ship. Our AI decided to turn the power back on, we are going to fight.	We powered the ship down and waited. Something strange happened next. The animal started to feel and poke our ship with its many tentacles. Suddenly, it became agitated and released a charge of energy from its body, damaging the ship. Our AI decided to turn the power back on, we are going to fight.	400		2064473500:236 Exo warp pink long jellyf attack Tmo.prefab
text2	Due to low explosives, we were unable to neutralize the warp animal. It kept poking us with its tentacles and releasing harmful energy, damaging equipment and crew. We finally managed to shake it free and cause enough damage that it decided to warp away. The encounter was documented as valuable xenodata.	Due to low explosives, we were unable to neutralize the warp animal. It kept poking us with its tentacles and releasing harmful energy, damaging equipment and crew. We finally managed to shake it free and cause enough damage that it decided to warp away. The encounter was documented as valuable xenodata.	400		498389559:236 Exo warp pink long jellyf attack Tmo.prefab
text2	The resulting fight was quick and vicious. Luckily, we had a some explosives left to penetrate its energy shields. The warp creatures corpse contained a few bits and pieces from half-digested ships, one of them still almost functional.	The resulting fight was quick and vicious. Luckily, we had a some explosives left to penetrate its energy shields. The warp creatures corpse contained a few bits and pieces from half-digested ships, one of them still almost functional.	400		901674083:236 Exo warp pink long jellyf attack Tmo.prefab
text2	We recorded the event as scientifc xenodata.	We recorded the event as scientific xenodata.	400		1540915811:236 Exo warp pink long jellyf attack Tmo.prefab

236 Exo warp pink long jellyf Tmo.prefab
text	A lone, gigantic warp animal is floating in the distance. Our database suggests it is vulnerable to explosives.	A lone, gigantic warp animal is floating in the distance. Our database suggests it is vulnerable to explosives.	400		1981989712:236 Exo warp pink long jellyf Tmo.prefab
choiceText	Hunt the warp animal [-20 explosives or more]	Hunt the warp animal [-20 explosives or more]	100		1981989712:236 Exo warp pink long jellyf Tmo.prefab
choiceText	Leave it be and disengage	Leave it be and disengage	100		1981989712:236 Exo warp pink long jellyf Tmo.prefab; 805964843:46 Exo warplife single jellyfish Tmo.prefab
text2	The animal fought back by shooting warp rays that paralyzed or fried our crew, modules and other advanced equipment. It even started to somehow remotely hack our AI, at which point we decided it was time to retreat.	The animal fought back by shooting warp rays that paralyzed or fried our crew, modules and other advanced equipment. It even started to somehow remotely hack our AI, at which point we decided it was time to retreat.	400		1299402348:236 Exo warp pink long jellyf Tmo.prefab
text2	The warp animal puts up a tough fight, shooting pink rays that paralyze our missiles and other advanced equipment. One salvo of explosives finally connects. Tthe animal explodes in a supernova-like eruption, scorching the mothership. Nothing remains of it.	The warp animal puts up a tough fight, shooting pink rays that paralyze our missiles and other advanced equipment. One salvo of explosives finally connects. Tthe animal explodes in a supernova-like eruption, scorching the mothership. Nothing remains of it.	400		1299402347:236 Exo warp pink long jellyf Tmo.prefab
text2	You and your crew watch the jellyfish gracefully float in space. They are said to be thousands of years old and highly intelligent. You wonder why they are said to be dangerous and unpredictable, and if this might be untrue.	You and your crew watch the jellyfish gracefully float in space. They are said to be thousands of years old and highly intelligent. You wonder why they are said to be dangerous and unpredictable, and if this might be untrue.	400		1299402334:236 Exo warp pink long jellyf Tmo.prefab
text2	The warp animal used its poorly understood warp rays to fight back. It dealt significant damage to our ship and several subsystems before dying of its wounds. Its corpse contained a few bits and pieces from half-digested ships, one of them almost functional.	The warp animal used its poorly understood warp rays to fight back. It dealt significant damage to our ship and several subsystems before dying of its wounds. Its corpse contained a few bits and pieces from half-digested ships, one of them almost functional.	400		1299402333:236 Exo warp pink long jellyf Tmo.prefab
text2	Any encounter with warp animals is a rare occasion and our recordings of it are worth some xenodata credits.	Any encounter with warp animals is a rare occasion and our recordings of it are worth some xenodata credits.	400		1644844853:236 Exo warp pink long jellyf Tmo.prefab; 78760912:236 Exo warp pink long jellyf Tmo.prefab

245 Exo lifepod, Co2.prefab
text	This escape pod has drifted in space for a long time and seems to contain several cryofrozen individuals. Records show the pods were ejected after an attack by unknown forces.	This escape pod has drifted in space for a long time and seems to contain several cryofrozen individuals. Records show the pods were ejected after an attack by unknown forces.	400		1586158223:245 Exo lifepod, Co2.prefab
choiceText	Open pods	Open pods	100		1586158223:245 Exo lifepod, Co2.prefab
text2	The beings inside the cryopod belonged to a science vessel and they know how to operate a ship. After defreezing, the Mothership AI had a private conversation with the survivors and they decided to join your crew.	The beings inside the cryopod belonged to a science vessel and they know how to operate a ship. After defreezing, the Mothership AI had a private conversation with the survivors and they decided to join your crew.	400		2135310647:245 Exo lifepod, Co2.prefab
crewDescriptionOverride	A survivor rescued from a cryopod floating in space. Missing trivial pre-freeze memories.	A survivor rescued from a cryopod floating in space. Missing trivial pre-freeze memories.	250		245 Exo lifepod, Co2.prefab
text2	It seems a technical malfunction within the pod has caused the beings inside to die. We had no better option than to give them a proper ceremony and recycle them into organics.	It seems a technical malfunction within the pod has caused the beings inside to die. We had no better option than to give them a proper ceremony and recycle them into organics.	400		55032073:245 Exo lifepod, Co2.prefab
text	Our AI reports a critical malfunction in the cryopod defreezing process. It might endanger the lives of three frozen individuals. We could pump the pod full of regen paste to reduce the risk, but there are no guarantees.	Our AI reports a critical malfunction in the cryopod defreezing process. It might endanger the lives of three frozen individuals. We could pump the pod full of regen paste to reduce the risk, but there are no guarantees.	400		107656969:245 Exo lifepod, Co2.prefab
choiceText	Submerge them in regen paste! [-60 organics]	Submerge them in regen paste! [-60 organics]	100		107656969:245 Exo lifepod, Co2.prefab
choiceText	Keep defreezing, hope for best	Keep defreezing, hope for best	100		107656969:245 Exo lifepod, Co2.prefab
text2	The regen paste works, and we are able to save two individuals.	The regen paste works, and we are able to save two individuals.	400		134431558:245 Exo lifepod, Co2.prefab
reasonToDisplay	survivors saved	survivors saved	30		245 Exo lifepod, Co2.prefab
text2	We manage to save one of the individuals even without printing the regen paste. The survivor has a private conversation with our AI and decides to join our mission.	We manage to save one of the individuals even without printing the regen paste. The survivor has a private conversation with our AI and decides to join our mission.	400		1582802897:245 Exo lifepod, Co2.prefab
reasonToDisplay	survivor found	survivor found	30		245 Exo lifepod, Co2.prefab; 3 Exo friendly warp animal.prefab
text2	The malfunction caused the beings inside to die. We had no better option than to give them a proper ceremony and recycle them, along with the pod.	The malfunction caused the beings inside to die. We had no better option than to give them a proper ceremony and recycle them, along with the pod.	400		55032074:245 Exo lifepod, Co2.prefab
text2	The regen paste works, but we are able to only save one of the individuals.	The regen paste works, but we are able to only save one of the individuals.	400		134434695:245 Exo lifepod, Co2.prefab
reasonToDisplay	survivor saved	survivor saved	30		245 Exo lifepod, Co2.prefab; Pint primitive milciv, SOS signal and exo trade.prefab

25 Exo debris, capmissile attack or artifact.prefab
title	Metal debris	Metal debris	35		453931684:25 Exo debris, capmissile attack or artifact.prefab
text	Scans have picked up a faint signal of active (potentially dangerous) technology within this field of debris. Commence scavenging operation?	Scans have picked up a faint signal of active (potentially dangerous) technology within this field of debris. Commence scavenging operation?	400		453931684:25 Exo debris, capmissile attack or artifact.prefab
choiceText	Scavenge with Mothership	Scavenge with Mothership	100		453931684:25 Exo debris, capmissile attack or artifact.prefab
choiceText	Scavenge with printed bots & equipment [-50 synthetics]	Scavenge with printed bots & equipment [-50 synthetics]	100		453931684:25 Exo debris, capmissile attack or artifact.prefab
text2	An intact artifact with partially active subsystems was discovered floating among the debris.	An intact artifact with partially active subsystems was discovered floating among the debris.	400		1003084108:25 Exo debris, capmissile attack or artifact.prefab
reasonToDisplay	materials salvaged	materials salvaged	30		25 Exo debris, capmissile attack or artifact.prefab; P ocean wasteland, salvageable selfdestruct sys.prefab; P ocean wasteland, salvageable selfdestruct sys.prefab
title	Capital missile ambush!	Capital missile ambush!	35		1070289182:25 Exo debris, capmissile attack or artifact.prefab; 1070289184:25 Exo debris, capmissile attack or artifact.prefab
text2	The active technology within the debris was a capital missile that was shot out ages ago, but never found its target, staying in standby mode. During the operation, it somehow identified us as a threat and attacked.	The active technology within the debris was a capital missile that was shot out ages ago, but never found its target, staying in standby mode. During the operation, it somehow identified us as a threat and attacked.	400		1070289182:25 Exo debris, capmissile attack or artifact.prefab
reasonToDisplay	capital missile attack!	capital missile attack!	30		25 Exo debris, capmissile attack or artifact.prefab; 25 Exo debris, capmissile attack or artifact.prefab
text	We do not have the necessary resources for this operation. We may try again later when we are better equipped.	We do not have the necessary resources for this operation. We may try again later when we are better equipped.	600		2132731203:25 Exo debris, capmissile attack or artifact.prefab; 659741172:1 P Acid plants T.prefab; 783815638:1 P dome city broken advanced MT.prefab; 861582459:3 P Deep fissure with metal.prefab; 861582460:3 P Deep fissure with metal.prefab; 1455035401:1 P Noncarbon life, metal mining and animal attacks.prefab; 1455035406:1 P Noncarbon life, metal mining and animal attacks.prefab; 1488372521:3 P self-destructing warp beacon.prefab; 1969263235:3 P 2xExotics balloon or tentacle plants.prefab; 1969263236:3 P 2xExotics balloon or tentacle plants.prefab; 1969263241:3 P 2xExotics balloon or tentacle plants.prefab
text2	An intact artifact with partially active subsystems was discovered floating among the debris. We recovered some of the materials used in printing the bots.	An intact artifact with partially active subsystems was discovered floating among the debris. We recovered some of the materials used in printing the bots.	400		1070289181:25 Exo debris, capmissile attack or artifact.prefab
reasonToDisplay	artifact found	artifact found	30		25 Exo debris, capmissile attack or artifact.prefab
text2	The active technology within the debris was a capital missile that was armed ages ago, but never found its target, staying in standby mode. It attacked our bots during the operation, destroying a few.	The active technology within the debris was a capital missile that was armed ages ago, but never found its target, staying in standby mode. It attacked our bots during the operation, destroying a few.	400		1070289184:25 Exo debris, capmissile attack or artifact.prefab

3 Exo friendly warp animal.prefab
text	A warp animal is flying towards us.	A warp animal is flying towards us.	400		1953122385:3 Exo friendly warp animal.prefab
choiceText	Launch printed missiles at the animal [-20 explosives]	Launch printed missiles at the animal [-20 explosives]	100		1953122385:3 Exo friendly warp animal.prefab
choiceText	Quickly disengage [-5 fuel]	Quickly disengage [-5 fuel]	100		1953122385:3 Exo friendly warp animal.prefab
text	Waiting... #	Waiting... #	50		1500383838:3 Exo friendly warp animal.prefab
text2	You opt for caution and turn around, leaving the animal behind and recording its unusual behaviour as valuable xenodata.	You opt for caution and turn around, leaving the animal behind and recording its unusual behaviour as valuable xenodata.	400		318839286:3 Exo friendly warp animal.prefab
text	Attacking the warp animal... %	Attacking the warp animal... %	50		1481857081:3 Exo friendly warp animal.prefab
text2	The animal jumped into a personal warphole, avoiding our attacks. What could it have wanted? We record its unusual behaviour as valuable xenodata.	The animal jumped into a personal warphole, avoiding our attacks. What could it have wanted? We record its unusual behaviour as valuable xenodata.	400		1581870027:3 Exo friendly warp animal.prefab
text	The creature flies right to our ship's nose and stops. The people on the bridge feel some kind of tingle in their brains, and get the telepathic vibe of "WORRY". The warp creature then blinks its many eyes and turns around, inviting us to follow it.	The creature flies right to our ship's nose and stops. The people on the bridge feel some kind of tingle in their brains, and get the telepathic vibe of "WORRY". The warp creature then blinks its many eyes and turns around, inviting us to follow it.	400		1185889938:3 Exo friendly warp animal.prefab
choiceText	Follow the animal	Follow the animal	100		1185889938:3 Exo friendly warp animal.prefab
choiceText	Very suspicious... leave immediately [-5 fuel]	Very suspicious... leave immediately [-5 fuel]	100		1185889938:3 Exo friendly warp animal.prefab
title	Massive plasma explosion	Massive plasma explosion	35		1581870026:3 Exo friendly warp animal.prefab
text2	Our missiles strike the target and the warp animal erupts in a massive plasma explosion. We recorded the encounter as xenodata, but weren't able to salvage any remains.	Our missiles strike the target and the warp animal erupts in a massive plasma explosion. We recorded the encounter as xenodata, but weren't able to salvage any remains.	400		1581870026:3 Exo friendly warp animal.prefab
text2	After printing some universal carbon tissue repair nanobots, we send bots to administer them into the wounds. Our bots also collect some samples of dead tissue for scientific research. The whale survives and sends a telepathic vibe of pure gratitude. We leave, feeling warm inside.	After printing some universal carbon tissue repair nanobots, we send bots to administer them into the wounds. Our bots also collect some samples of dead tissue for scientific research. The whale survives and sends a telepathic vibe of pure gratitude. We leave, feeling warm inside.	400		1581870022:3 Exo friendly warp animal.prefab
reasonToDisplay	medical aid to warplife	medical aid to warplife	30		3 Exo friendly warp animal.prefab; 3 Exo friendly warp animal.prefab
text	Following the warp animal... %	Following the warp animal... %	50		620052796:3 Exo friendly warp animal.prefab
text	The animal has led us to a nearby gas cloud, hididng a severly injured warp whale. We could help the animals... or kill them. The choice is yours. The whale is so huge that printing adequate amounts of medicine or nanoscopic regenbots could take a lot of resources.	The animal has led us to a nearby gas cloud, hiding a severly injured warp whale. We could help the animals... or kill them. The choice is yours. The whale is so huge that printing adequate amounts of medicine or nanoscopic regenbots could take a lot of resources.	400		316220610:3 Exo friendly warp animal.prefab
choiceText	Print basic medicine to help the whale [-organics, -synthetics]	Print basic medicine to help the whale [-organics, -synthetics]	100		316220610:3 Exo friendly warp animal.prefab
choiceText	Print the best medicine to help the whale [-organics, -exotics]	Print the best medicine to help the whale [-organics, -exotics]	100		316220610:3 Exo friendly warp animal.prefab
choiceText	Attack to kill	Attack to kill	100		316220610:3 Exo friendly warp animal.prefab
text2	Our ship's basic life support synthesizers print a load of relatively cheap regen paste which should stabilize the animal. The bots that apply it also collect some samples of dead tissue for scientific research. The whale's condition stabilizes, and it sends a telepathic vibe of pure gratitude. We leave, feeling warm inside.	Our ship's basic life support synthesizers print a load of relatively cheap regen paste which should stabilize the animal. The bots that apply it also collect some samples of dead tissue for scientific research. The whale's condition stabilizes, and it sends a telepathic vibe of pure gratitude. We leave, feeling warm inside.	400		1581870025:3 Exo friendly warp animal.prefab
text	xenomedical operation...	xenomedical operation...	50		272613107:3 Exo friendly warp animal.prefab; 693989221:3 Exo friendly warp animal.prefab
text2	We attack both animals, but the uninjured one manages to to shoot back. Its warprays penetrate our shields, damaging ship integrity and injuring crew.	We attack both animals, but the uninjured one manages to to shoot back. Its warprays penetrate our shields, damaging ship integrity and injuring crew.	400		1581870024:3 Exo friendly warp animal.prefab
text	attacking warplife...	attacking warplife...	50		1233545389:3 Exo friendly warp animal.prefab; 585682924:3 Exo friendly warp animal.prefab; 1167082631:3 Exo friendly warp animal.prefab
text	We incapacitate the whale with ease, but the second warp animal seems to be glowing with rage and will surely fight to the death. Should we continue the attack? The creature is still taking a moment with its friend, we might get away if we overdrive engines right now at max capacity.	We incapacitate the whale with ease, but the second warp animal seems to be glowing with rage and will surely fight to the death. Should we continue the attack? The creature is still taking a moment with its friend, we might get away if we overdrive engines right now at max capacity.	400		216081474:3 Exo friendly warp animal.prefab
choiceText	Fight	Fight	100		216081474:3 Exo friendly warp animal.prefab; 717340017:Ambusher L2 pirates, sstriker and arrowhead.prefab
choiceText	Overdrive engines to escape [-25 fuel]	Overdrive engines to escape [-25 fuel]	100		216081474:3 Exo friendly warp animal.prefab
text2	The fighting was fierce, but we eventually managed to kill the remaining warp creature. The fighting caused significant damage to the ship and crew.	The fighting was fierce, but we eventually managed to kill the remaining warp creature. The fighting caused significant damage to the ship and crew.	400		1581870013:3 Exo friendly warp animal.prefab
reasonToDisplay	warp animal attacks	warp animal attacks	30		3 Exo friendly warp animal.prefab; 4 Exo warp dome jellyf swarm attack R.prefab; 4 Exo warp dome jellyf swarm attack R.prefab; 4 Exo warp dome jellyf swarm attack R.prefab; 4 Exo warp dome jellyf swarm attack R.prefab
title	Approaching warp animal herd	Approaching warp animal herd	35		1581870012:3 Exo friendly warp animal.prefab
text2	The fighting was fierce but we had to retreat. A large herd of warp animals was detected approaching and we chose to escape before things got out of hand. We received significant damage. The whole battle was recorded as a warplife aggression documentary.	The fighting was fierce but we had to retreat. A large herd of warp animals was detected approaching and we chose to escape before things got out of hand. We received significant damage. The whole battle was recorded as a warplife aggression documentary.	400		1581870012:3 Exo friendly warp animal.prefab
reasonToDisplay	warp herd attacks	warp herd attacks	30		3 Exo friendly warp animal.prefab
text2	We were able to speed away. The engine overdrive caused minor malfunctions across the ship, including an air leak.	We were able to speed away. The engine overdrive caused minor malfunctions across the ship, including an air leak.	400		2091968081:3 Exo friendly warp animal.prefab
text2	The animal attacked us without any provocation! It peppered our ship with warp energy weapons that penetrated shields, but did little damage to the ship itself. The animal retreated back to warp space after our counterfire. We documented the encounter for scientific purposes.	The animal attacked us without any provocation! It peppered our ship with warp energy weapons that penetrated shields, but did little damage to the ship itself. The animal retreated back to warp space after our counterfire. We documented the encounter for scientific purposes.	400		1927312532:3 Exo friendly warp animal.prefab
reasonToDisplay	warp animal attack	warp animal attack	30		3 Exo friendly warp animal.prefab; 3 Exo friendly warp animal.prefab; 38 P jellyfish colony.prefab
text2	The creature attacked us without any provocation! It sprayed our ship with some kind of weak energy bolts but died from our counterfire. The attacks damaged only external equipment.	The creature attacked us without any provocation! It sprayed our ship with some kind of weak energy bolts but died from our counterfire. The attacks damaged only external equipment.	400		361228591:3 Exo friendly warp animal.prefab
text	attacked by warp life...	attacked by warp life...	50		4283217:3 Exo friendly warp animal.prefab
text2	The warp animal investigates our ship and then leaves. We document the encounter for scientific purposes.	The warp animal investigates our ship and then leaves. We document the encounter for scientific purposes.	400		764513118:3 Exo friendly warp animal.prefab
reasonToDisplay	warp life encounter	warp life encounter	30		3 Exo friendly warp animal.prefab; 3 Exo friendly warp animal.prefab; 3 Exo friendly warp animal.prefab; 4 P precursor tech cave MoT, good weaponsx3.prefab
text2	The warp animal investigates our vessel and flies a few circles around us. It regurgitates some half-digested metal on top of our ship before leaving. A gift, perhaps?	The warp animal investigates our vessel and flies a few circles around us. It regurgitates some half-digested metal on top of our ship before leaving. A gift, perhaps?	400		1345912825:3 Exo friendly warp animal.prefab
text2	The warp animal seems to enjoy our attention. It performs a dance of flight, showing us impossibly dexterious movements, combined with jumping into personally created warpholes and glowing body lights. The creature left as abruptly as it arrived. We documented everything as xenodata.	The warp animal seems to enjoy our attention. It performs a dance of flight, showing us impossibly dexterous movements, combined with jumping into personally created warpholes and glowing body lights. The creature left as abruptly as it arrived. We documented everything as xenodata.	400		2105427712:3 Exo friendly warp animal.prefab
text2	The warp animal has led us to a cat, floating in empty space! A few pieces of metal nearby support the hypothesis that a ship was destroyed here, the cat being possibly the only survivor.	The warp animal has led us to a cat, floating in empty space! A few pieces of metal nearby support the hypothesis that a ship was destroyed here, the cat being possibly the only survivor.	400		558329594:3 Exo friendly warp animal.prefab
text2	The warp animal has led us to a heavily armed humanoid floating in a cloud of blood. Further analysis proves that it's an alien pilot who fought slavers until the end, dying of wounds before being able to activate a powerful self-destruct device. We salvage everything of value.	The warp animal has led us to a heavily armed humanoid floating in a cloud of blood. Further analysis proves that it's an alien pilot who fought slavers until the end, dying of wounds before being able to activate a powerful self-destruct device. We salvage everything of value.	400		173182679:3 Exo friendly warp animal.prefab

3 Exo refuelling station, looted.prefab
displayName	Large metal object	Large metal object	25		183111043:3 Exo refuelling station, looted.prefab; 213492202:1 wr. stationx4 residential2, PDterran3,4 MT.prefab; 631316453:1 wr. stationx4 commercial, defectve mlaserx2, M.prefab; 1040749231:23456 wr. stationx6 science, medbay5, MOCT.prefab; 1142068737:1 wr. stationx4 residential2, PDterran3,4 MT.prefab; 1208871306:2345 wr. stationx6 residential MC.prefab; 1514309011:1 wr. stationx4 residential2, PDterran3,4 MT.prefab; 1535287717:23456 wr. stationx6 science, medbay5, MOCT.prefab; 1559892988:1 wr. stationx4 commercial, defectve mlaserx2, M.prefab; 1969325766:23456 wr. stationx6 science, medbay5, MOCT.prefab; 2137447841:2345 wr. stationx6 residential MC.prefab
title	Looted refuelling outpost	Looted refuelling outpost	35		61292029:3 Exo refuelling station, looted.prefab
text	This refuelling outpost is looted and damaged beyond repair. It seems that the looters attempted to cut out the AI administrating the outpost... they probably didn't know that such AIs have powerful explosives in their data cores, preferring death to loss of freedom. There's nothing to salvage except for the metal frame of the outpost.	This refuelling outpost is looted and damaged beyond repair. It seems that the looters attempted to cut out the AI administrating the outpost... they probably didn't know that such AIs have powerful explosives in their data cores, preferring death to loss of freedom. There's nothing to salvage except for the metal frame of the outpost.	400		61292029:3 Exo refuelling station, looted.prefab
choiceText	Salvage the outpost remains [-10 fuel]	Salvage the outpost remains [-10 fuel]	100		61292029:3 Exo refuelling station, looted.prefab
newName3	refuelling outpost wreckage	refuelling outpost wreckage	25		61292029:3 Exo refuelling station, looted.prefab
text	salvaging... %	salvaging... %	50		712061279:3 Exo refuelling station, looted.prefab; 1195608230:5 P conflict remains x4.prefab; 1633411020:5 P conflict remains x4.prefab
title	Structure salvaged	Structure salvaged	35		677649527:3 Exo refuelling station, looted.prefab; 1460644732:1 wr. stationx4 commercial, defectve mlaserx2, M.prefab
reasonToDisplay	outpost salvaged	outpost salvaged	30		3 Exo refuelling station, looted.prefab

3 Exo warp Whale wounded RMO.prefab
text	It's a lone, injured warp whale. Warp whales are known for their telepathic songs that even passersby can "hear". Their bodies are also full of exotic materials. This particular one seems to be significantly slower due to an injury.	It's a lone, injured warp whale. Warp whales are known for their telepathic songs that even passersby can "hear". Their bodies are also full of exotic materials. This particular one seems to be significantly slower due to an injury.	400		1110904720:3 Exo warp Whale wounded RMO.prefab
choiceText	Hunt the warp whale [- fuel]	Hunt the warp whale [- fuel]	100		1110904720:3 Exo warp Whale wounded RMO.prefab
choiceText	Help the whale [-60 organics or less]	Help the whale [-60 organics or less]	100		1110904720:3 Exo warp Whale wounded RMO.prefab
choiceText	Listen to its singing	Listen to its singing	100		1110904720:3 Exo warp Whale wounded RMO.prefab
text2	The whale allowed us to follow it for a while, but something happened when we were about to fire. The whale let out a telepathic shriek of shame. The feeling that we were doing something wrong was so intense that one of the crewmembers took a gun and shot themselves. The whale escaped through a personal warphole. This will be a day of meditation for all of us.	The whale allowed us to follow it for a while, but something happened when we were about to fire. The whale let out a telepathic shriek of shame. The feeling that we were doing something wrong was so intense that one of the crewmembers took a gun and shot themselves. The whale escaped through a personal warphole. This will be a day of meditation for all of us.	400		428317353:3 Exo warp Whale wounded RMO.prefab
text2	The song fills you and your crew with intense sorrow and pain. It seems the whale is singing about not wanting to believe there was somebody so cruel who would deliberately hurt it.	The song fills you and your crew with intense sorrow and pain. It seems the whale is singing about not wanting to believe there was somebody so cruel who would deliberately hurt it.	400		428317355:3 Exo warp Whale wounded RMO.prefab
text2	We were able to kill the wounded animal with ease. Some of the crew expressesed strong disagreement with killing such a peaceful animal who was probably only seeking help.	We were able to kill the wounded animal with ease. Some of the crew expressed strong disagreement with killing such a peaceful animal who was probably only seeking help.	400		428317342:3 Exo warp Whale wounded RMO.prefab
text2	We were able to kill the animal, but it let out a telephatic scream of concentrated agony at the moment of its death. Several crewmembers started bleeding from eyes and ears. Scans indicated light brain damage.	We were able to kill the animal, but it let out a telepathic scream of concentrated agony at the moment of its death. Several crewmembers started bleeding from eyes and ears. Scans indicated light brain damage.	400		428317341:3 Exo warp Whale wounded RMO.prefab
text2	We were able to use organics to feed & heal the whale. The wounds closed quickly and the creature beamed pure telephathic gratitude at us before warping away.	We were able to use organics to feed & heal the whale. The wounds closed quickly and the creature beamed pure telepathic gratitude at us before warping away.	400		773759861:3 Exo warp Whale wounded RMO.prefab
